╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m│╗▒[з°2╛F▒[дl│╗╕Ї91~120╕╣,85.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,10409,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0820119,139.38,5,3,3,ж│,╡L,3000000,21524,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLPKJIKFFCQ56CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдпйMд@╕Ї1~30╕╣,426.67,жэ,,,10410,дgжa11л╪кл2иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040720,430.04,5,2,6,ж│,ж│,21900000,50925,,0.0,0,,RPTNMLTJJIKFFBQ76CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелоrлe61~90╕╣,65.14,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0830622,148.23,3,2,2,ж│,╡L,1900000,12818,,0.0,0,,RPQNMLMKJIKFFBQ48CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдj?╖}31~60╕╣,113.3,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,10410,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1020715,145.29,4,2,3,ж│,╡L,4600000,31661,,0.0,0,,RPTNMLMKJIKFFBQ78CA
к№и╜дs╢m,дgжa,╝╓│емq241~270жa╕╣,5140.0,,дsйYжaлOи|░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1200000,233,,0.0,0,,RPPNMLLKJIKFFEQ78EA
кFе█╢m,дgжa,┤фсYнэмq└s┤фдpмq211~240жa╕╣,2189.64,,д@пы╣A╖~░╧,╣Aкке╬жa,10410,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300000,137,,0.0,0,┐╦д═╢б╢R╜ц,RPSNMLNKJIKFFBQ78CA
╖s┤ф╢m,дgжa,жш╔▄мqжш╔▄дpмq781~810жa╕╣,5842.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,18000000,3081,,0.0,0,,RPPNMLQKJIKFFCQ88CA
е┴╢п╢m,дgжa,┬∙┤ймqжєнэдpмq61~90жa╕╣,1648.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1325000,804,,0.0,0,,RPQNMLPKJIKFFCQ88CA
ж╡дlел,дgжa,┬эжwмq1261~1290жa╕╣,69.45,жэ,,,10410,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1680000,24190,,0.0,0,,RPTNMLPLJIKFFBQ56CA
дЇдW╢m,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐ддЇдW╢mдЇдWз°╡╪кL╡є62л╤1~30╕╣,139.72,жэ,,,10410,дgжa6л╪кл1иожь1,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1040521,193.74,4,3,3,ж│,╡L,7000000,36131,д@╝╙енн▒,12.5,0,,RPXNMLRKJIKFFDQ27CA
дЇдW╢m,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐ддЇдW╢mдЇдWз°╡╪кL╡є62л╤1~30╕╣,140.74,жэ,,,10410,дgжa6л╪кл1иожь1,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1040521,193.74,4,3,3,ж│,╡L,6880000,35512,д@╝╙енн▒,12.5,0,,RPOOMLRKJIKFFDQ09CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]д╙лOи╜д╙лO151~180╕╣,135.69,жэ,,,10410,дgжa3л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0700712,105.37,4,2,2,ж│,╡L,2000000,18981,,0.0,0,,RPTOMLLJKIKFFDQ98CA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°е█│┬╢щ31~60╕╣,171.85,,д@пы╣A╖~░╧,д■║╪л╪┐vе╬жa,10409,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040731,159.56,4,3,4,ж│,╡L,8200000,51391,,0.0,0,,RPPNMLQKJIKFFEQ09CA
