¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï»OÆW¤j¹D¤G¬q481~510¸¹,21.28,°Ó,,,10409,¤g¦a1«Øª«1¨®¦ì2,¤­¼h,¤G¤Q¤»¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1011121,298.56,4,2,2,¦³,¦³,24000000,80386,©Y¹D¥­­±,47.64,0,,RPSOMLSKJIKFFAB77CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¤u¾Ç¤­µó31~60¸¹,21.59,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040529,158.55,3,2,2,¦³,µL,9500000,64213,©Y¹D¥­­±,30.85,1300000,,RPSOMLRLJIKFFAB77CA
ªF°Ï,¤g¦a,§ò·Ë¬q151~180¦a¸¹,270.19,¨ä¥L,,,10409,¤g¦a15«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,17158762,63506,,0.0,0,(¥]§t)¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPPOMLKMJIKFFAB86CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï±R¼w¤Q¤@¸ô1~30¸¹,31.27,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì2,¤T¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040203,254.87,3,2,2,¦³,¦³,20000000,78471,©Y¹D¥­­±,57.34,0,Á`»ù§t¸Ë¿X,RPPOMLMJJIKFFBB86CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï±R¼w¸ô¤@¬q151~180¸¹,14.91,¦í,,,10409,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0741024,118.37,3,2,2,¦³,¦³,4780000,40382,,0.0,0,,RPROMLMJJIKFFBB07CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¥ú¤jµó61~90¸¹,58.0,¦í,,,10409,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0580227,105.84,3,2,2,¦³,µL,7700000,72751,,0.0,0,,RPWNMLNJJIKFFBB57CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤å¤ß¸ô¥|¬q661~690¸¹,2.85,°Ó,,,10410,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,¤G¤Q¥|¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0841124,40.27,1,1,1,¦³,¦³,1660000,41222,,0.0,0,,RPVOMLOJJIKFFBB67CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°ÏªQ¦Ë¸ô¤G¬q361~390¸¹,13.99,¦í,,,10409,¤g¦a1«Øª«1¨®¦ì0,¤Q¤T¼h,¤Q¤»¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860722,106.69,3,2,2,¦³,¦³,5080000,47615,,0.0,0,,RPQPMLOJJIKFFBB27CA
¥_¤Ù°Ï,¨®¦ì,»O¤¤¥«¥_¤Ù°ÏªQ¦Ë¸ô¤G¬q331~360¸¹,0.0,,,,10409,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,19.81,0,0,0,¦³,µL,1300000,,©Y¹D¥­­±,0.0,0,,RPSPMLOJJIKFFBB47CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°ÏªF¤s¸ô¤@¬q191«Ñ1~30¸¹,70.0,¦í,,,10406,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1031209,204.73,4,3,4,¦³,µL,13280000,64866,,0.0,0,,RPPNMLOJJIKFFBB96CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï³¯¥­¸ô60«Ñ1~30¸¹,22.13,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,¤»¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0800718,124.13,3,2,2,¦³,¦³,4150000,33435,¤É­°¾÷±ñ,0.0,0,,RPRNMLOJJIKFFBB17CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°ÏªQ¦Ë¨½±R¼w¸ô¤G¬q421~450¸¹,13.17,¦í,,,10403,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870610,90.74,3,2,2,¦³,¦³,7580000,83535,,0.0,0,,RPSOMLPJJIKFFBB47CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¼öªe¸ô¤G¬q181~210¸¹,12.79,°Ó,,,10410,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820908,103.5,3,2,1,¦³,¦³,4500000,43478,,0.0,0,,RPPOMLQJJIKFFBB27CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤å¤Æµó91~120¸¹,123.0,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,°Ó·~¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0640402,213.37,4,3,3,¦³,µL,10500000,49210,,0.0,0,,RPVOMLTJJIKFFBB18CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¨|¿³µó1~30¸¹,19.99,¦í,,,10410,¤g¦a3«Øª«1¨®¦ì0,¤G¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0780619,84.71,2,1,1,¦³,¦³,4100000,48400,,0.0,0,,RPVPMLTJJIKFFBB28CA
¥_°Ï,¤g¦a,ÀA§ø¬q181~210¦a¸¹,154.0,¦í,,,10409,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10630000,69026,,0.0,0,¤W¦³¥¼«O¦s«Øª«¥­©Ð¤@´É,RPTRMLTJJIKFFBB28CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¦Û±jµó35«Ñ1~30¸¹,83.0,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0780905,138.0,6,2,3,¦³,µL,12600000,91304,,0.0,0,,RPQQMLKKJIKFFBB07CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°ÏªQ¸qµó151~180¸¹,18.58,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860127,109.5,2,2,2,¦³,¦³,2000000,18265,©Y¹D¾÷±ñ,6.98,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPQMLLKJIKFFBB07CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤Ó­ì¸ô¤T¬q1171~1200¸¹,21.25,¦í,,,10208,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040824,194.45999999999998,3,2,2,¦³,¦³,10750000,60727,©Y¹D¥­­±,34.73,1050000,,RPWPMLMKJIKFFBB77CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤Ó­ì¸ô¤T¬q1171~1200¸¹,23.9,¦í,,,10302,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040824,218.72,4,2,2,¦³,¦³,11390000,55383,©Y¹D¥­­±,34.73,1200000,,RPXPMLMKJIKFFBB87CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤Ó­ì¸ô¤T¬q1171~1200¸¹,22.12,¦í,,,10208,¤g¦a1«Øª«1¨®¦ì1,¤Q¤G¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040824,202.38,3,2,2,¦³,¦³,11740000,64360,©Y¹D¥­­±,34.73,950000,,RPOQMLMKJIKFFBB07CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¬h¶§¦èµó31~60¸¹,16.65,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840321,148.75,3,2,2,¦³,¦³,6900000,46387,©Y¹D¥­­±,0.0,0,,RPSOMLQKJIKFFBB67CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ïº~¤f«n¤Gµó1~30¸¹,5.54,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,¤»¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0800822,35.69,1,1,1,¦³,¦³,1450000,40628,,0.0,0,,RPWUMLRKJIKFFBB78CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¦Pºa¸ô211~240¸¹,26.06,¦í,,,10410,¤g¦a0«Øª«1¨®¦ì0,¤E¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840728,205.79999999999998,4,2,2,¦³,¦³,8600000,41788,©Y¹D¥­­±,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPOPMLQLJIKFFBB47CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°ÏªF¥ú¸ô241~270¸¹,21.69,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡AÃM¼Ó¡A¦a¤U¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0810603,172.21,3,2,2,¦³,¦³,6800000,39487,,0.0,0,,RPPPMLQLJIKFFBB57CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï¥_¿³µó151~180¸¹,35.33,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0741220,173.03,3,2,2,¦³,¦³,6800000,39300,©Y¹D¥­­±,0.0,0,,RPVPMLRLJIKFFBB28CA
¥_¤Ù°Ï,¤g¦a,ªø¬K¬q61~90¦a¸¹,3881.0,¦í,,,10410,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,151000000,38907,,0.0,0,,RPRRMLKMJIKFFBB47CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó¶¶¤­µó31~60¸¹,82.38,¦í,,,10306,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040811,211.18,4,2,4,¦³,µL,17380000,82299,,0.0,0,,RPRNMLMJKIKFFBB07CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó¶¶¤­µó31~60¸¹,81.32,¦í,,,10304,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040811,211.25,4,2,4,¦³,µL,17000000,80473,,0.0,0,,RPSNMLMJKIKFFBB17CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó¶¶¤­µó31~60¸¹,81.32,¦í,,,10306,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040811,211.18,4,2,4,¦³,µL,17280000,81826,,0.0,0,,RPTNMLMJKIKFFBB27CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó¶¶¤­µó31~60¸¹,77.79,¦í,,,10405,¤g¦a3«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040811,210.66,4,2,4,¦³,µL,15880000,75382,,0.0,0,,RPUNMLMJKIKFFBB37CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó¶¶¤­µó31~60¸¹,77.69,¦í,,,10307,¤g¦a3«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040811,210.66,4,2,4,¦³,µL,15800000,75002,,0.0,0,,RPVNMLMJKIKFFBB47CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï´f¥Á¸ô1~30¸¹,47.9,¨ä¥L,,,10410,¤g¦a1«Øª«1¨®¦ì2,¤K¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0880830,326.78999999999996,4,2,2,¦³,¦³,28400000,86906,©Y¹D¥­­±,43.0,0,,RPPQMLMJJIKFFCB17CA
¦è¤Ù°Ï,¤g¦a,¼sºÖ¬q151~180¦a¸¹,41.6,¦í,,,10409,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1303668,31338,,0.0,0,,RPSNMLNJJIKFFCB27CA
«n¤Ù°Ï,¤g¦a,Â×¦w¬q151~180¦a¸¹,65.5,¦í,,,10410,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2971500,45366,,0.0,0,,RPTOMLNJJIKFFCB47CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°ÏºÖÁpµó31~60¸¹,4.86,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤C¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830610,27.29,1,1,1,¦³,¦³,950000,34811,,0.0,0,,RPXOMLOJJIKFFCB97CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï³{¤j¸ô91~120¸¹,44.93,¦í,,,10409,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤E¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0940704,215.66,4,2,2,¦³,¦³,3993051,18515,©Y¹D¥­­±,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPVNMLPJJIKFFCB77CA
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n¤Ù°Ï¤½¯q¸ô¤G¬q601~630¸¹,19.67,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¤Q¤T¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0880429,190.95,4,2,2,¦³,¦³,12000000,62844,©Y¹D¥­­±,0.0,0,,RPROMLPJJIKFFCB47CA
«n¤Ù°Ï,¤g¦a,¥x¦w¬q91~120¦a¸¹,1371.51,¹A,,,10407,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,14706097,10723,,0.0,0,¦@¦³¤H¶¡¥æ©ö,RPTOMLPJJIKFFCB67CA
«n¤Ù°Ï,¤g¦a,¤s¤l¸}¬q331~360¦a¸¹,1338.96,¹A,,,10408,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10422468,7784,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPUOMLPJJIKFFCB77CA
«n¤Ù°Ï,«Øª«,»O¤¤¥««n¤Ù°Ï¤j·~¸ô361~390¸¹,0.0,,,,10408,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤­¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0920129,398.26,5,2,4,¦³,µL,1000000,2511,,0.0,0,¥»®×«Y¤Ò©d¶¡¤§¶R½æ¡C,RPVPMLQJJIKFFCB08CA
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n¤Ù°Ï¤j¶iµó271~300¸¹,27.67,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0800208,161.57999999999998,4,2,2,¦³,¦³,8880000,54957,©Y¹D¾÷±ñ,0.0,0,,RPQQMLQJJIKFFCB67CA
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n¤Ù°Ï¦V¤W¸ô¤G¬q391~420¸¹,7.91,¦í,,,10409,¤g¦a1«Øª«2¨®¦ì1,¤»¼h,¤G¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850615,108.12,2,2,2,¦³,¦³,6200000,57344,©Y¹D¾÷±ñ,0.0,0,,RPWPMLTJJIKFFCB48CA
